city_name,city_id_name,value
北京,乌兰察布,0.15314082912
大同,乌兰察布,0.2020628916
张家口,乌兰察布,0.1361006712
鄂尔多斯,乌海,0.2586911320799998
巴彦淖尔,乌海,0.1433531584799999
成都,乐山,1.40740551756
眉山,乐山,0.4302273689999999
重庆,乐山,0.17443807164
宜宾,乐山,0.1106348641199999
自贡,乐山,0.10765538604
南昌,九江,0.87216227712
黄冈,九江,0.21198916944
深圳,九江,0.1208229955199999
上海,九江,0.11794514328
杭州,九江,0.11981959344
武汉,九江,0.10222615368
景德镇,九江,0.1384403270399999
宜春,九江,0.1418106268799999
上饶,九江,0.15769578312
赣州,九江,0.09911469096
广州,云浮,0.53140154004
佛山,云浮,0.5355008431200001
深圳,云浮,0.27018657108
东莞,云浮,0.24494301504
肇庆,云浮,0.35270857404
中山,云浮,0.143879085
江门,云浮,0.12915874116
茂名,云浮,0.08299691568
阳江,云浮,0.08068667904
合肥,亳州,0.4696201411199999
阜阳,亳州,0.45990120384
上海,亳州,0.2071582905599999
苏州,亳州,0.13406391648
南京,亳州,0.13096556928
杭州,亳州,0.0948202070399999
宁波,亳州,0.08931158496
淮北,亳州,0.14615707392
商丘,亳州,0.15221864736
蚌埠,亳州,0.11928249216
淮南,亳州,0.1034433504
周口,亳州,0.10865207808
武汉,仙桃,0.47009635632
荆州,仙桃,0.12162223224
孝感,仙桃,0.11201935176
哈尔滨,伊春,0.2155161848399999
绥化,伊春,0.08653734468
广州,佛山,4.2254436348
深圳,佛山,0.8677357081200001
中山,佛山,0.96684280776
东莞,佛山,0.7468272576000001
肇庆,佛山,1.66131353808
江门,佛山,0.91763481204
清远,佛山,0.92818833444
珠海,佛山,0.3363292854
惠州,佛山,0.38345120064
云浮,佛山,0.5350936431600001
梧州,佛山,0.30815929332
茂名,佛山,0.3462976508399999
湛江,佛山,0.2973620322
贵港,佛山,0.3606936804
韶关,佛山,0.45414743688
阳江,佛山,0.3691843563599999
贺州,佛山,0.14504947344
南宁,佛山,0.1161549558
衡阳,佛山,0.14530052808
玉林,佛山,0.1756736909999999
桂林,佛山,0.12440380464
河源,佛山,0.17998871328
永州,佛山,0.10301419944
郴州,佛山,0.0996941682
梅州,佛山,0.25180180992
汕头,佛山,0.0896131609199999
赣州,佛山,0.1454398966799999
揭阳,佛山,0.12109300092
汕尾,佛山,0.0800250354
哈尔滨,佳木斯,0.3021719968799999
双鸭山,佳木斯,0.22793416524
鹤岗,佳木斯,0.1375207502399999
北京,保定,2.459220345
石家庄,保定,1.27460880072
天津,保定,0.5551675232400001
廊坊,保定,0.62369856144
沧州,保定,0.51825923172
衡水,保定,0.25373046204
唐山,保定,0.1704824528399999
张家口,保定,0.21008471688
邢台,保定,0.1517107417199999
邯郸,保定,0.15131913264
秦皇岛,保定,0.0827927049599999
昆明,保山,0.13722314004
临沧,保山,0.08515666404
郑州,信阳,0.6565245112799999
上海,信阳,0.21580765848
驻马店,信阳,0.32443996284
北京,信阳,0.1946094465599999
杭州,信阳,0.18568793484
苏州,信阳,0.16512560532
武汉,信阳,0.20844098712
六安,信阳,0.1289127247199999
南阳,信阳,0.110093094
阜阳,信阳,0.0992113693199999
周口,信阳,0.08107302312
合肥,六安,1.6835809888800002
上海,六安,0.3156037667999999
苏州,六安,0.2549000210399998
淮南,六安,0.23013314352
杭州,六安,0.12464143272
南京,六安,0.13627994688
阜阳,六安,0.17782362864
无锡,六安,0.1044826322399999
信阳,六安,0.12875213736
芜湖,六安,0.08886509352
安庆,六安,0.1039689756
毕节,六盘水,0.58926177756
贵阳,六盘水,0.45029753604
曲靖,六盘水,0.19316432232
安顺,六盘水,0.19123153596
昆明,六盘水,0.1175155613999998
遵义,六盘水,0.08123714532
定西,兰州,0.80288019072
白银,兰州,0.68687212032
临夏回族自治州,兰州,0.4803658214399998
武威,兰州,0.37903215168
天水,兰州,0.53644856256
西安,兰州,0.23347398528
西宁,兰州,0.18435828096
张掖,兰州,0.20095952256
平凉,兰州,0.25765208352
海东,兰州,0.1255368326399999
酒泉,兰州,0.1289355407999999
陇南,兰州,0.201607704
成都,兰州,0.1130658134399999
金昌,兰州,0.09286013664
庆阳,兰州,0.1456746768
白城,兴安盟,0.150008841
通辽,兴安盟,0.1204960179599999
呼伦贝尔,兴安盟,0.09548997984
齐齐哈尔,兴安盟,0.09387717912
成都,内江,1.5018203844
重庆,内江,0.36004265748
自贡,内江,0.27130263444
资阳,内江,0.21733184196
眉山,内江,0.11711600136
泸州,内江,0.10236864564
呼和浩特,包头,0.73627231608
鄂尔多斯,包头,0.52949548368
巴彦淖尔,包头,0.3616333873199999
乌兰察布,包头,0.2509205364
北京,包头,0.11965384476
廊坊,北京,2.91552788664
保定,北京,2.45937822048
天津,北京,1.91740255164
张家口,北京,1.3194625539599998
承德,北京,0.93151818612
唐山,北京,0.69949451232
石家庄,北京,0.8211835209600001
沧州,北京,0.6400587600000001
上海,北京,0.33280906104
邯郸,北京,0.7895186478000001
秦皇岛,北京,0.56609264124
深圳,北京,0.1323115527599999
成都,北京,0.1974836926799998
衡水,北京,0.5351692388399999
邢台,北京,0.5366084047200002
西安,北京,0.30872941668
呼和浩特,北京,0.215590086
