node1,node2,network
1422026,1429869,1
2848,1223005,1
2848,1178409,1
2848,514789,1
2848,825532,1
319468,229543,1
319468,357691,1
319468,176344,1
319468,857734,1
319468,1358251,1
319468,853572,1
319468,711452,1
319468,1356596,1
319468,1144884,1
319468,304097,1
319468,1065603,1
319468,1517614,1
319468,1537917,1
319468,476220,1
319468,1494123,1
319468,1187085,1
319468,1151825,1
319468,93173,1
319468,1438630,1
319468,1576609,1
319468,779758,1
319468,1339579,1
467895,1084369,1
467895,1288638,1
467895,1496743,1
467895,78880,1
467895,510268,1
467895,194876,1
467895,1214568,1
467895,1357957,1
467895,1245562,1
467895,949803,1
467895,610952,1
467895,306334,1
467895,16954,1
467895,321713,1
467895,659702,1
1406780,1587230,1
1406780,1371075,1
1406780,1309644,1
1406780,279368,1
1406780,70402,1
3223,229877,1
3223,1435652,1
1031707,107182,1
1031707,360197,1
1031707,463958,1
1031707,1419523,1
1031707,253432,1
1031707,601939,1
1031707,1074729,1
1031707,90625,1
1031707,885976,1
1031707,427265,1
1108453,1178409,1
1108453,404403,1
1108453,802252,1
1108453,1061591,1
3539,566064,1
3539,736671,1
1346486,1420572,1
1346486,1247964,1
1346486,1059332,1
1346486,837108,1
1346486,1478044,1
1346486,1218727,1
1346486,615678,1
3896,1432031,1
988613,448169,1
988613,9218,1
4112,175088,1
4112,1338486,1
4112,677600,1
655586,380878,1
1031219,553559,1
1031219,1017447,1
1031219,945325,1
1031219,571176,1
1031219,429998,1
1031219,375570,1
1031219,436620,1
1031219,482982,1
4776,486969,1
4776,617591,1
680467,5241,1
680467,1412425,1
680467,986517,1
680467,393546,1
680467,1080671,1
680467,802661,1
680467,1297344,1
680467,1134206,1
1244175,1329145,1
1244175,453531,1
1244175,1465186,1
1244175,816947,1
1244175,305687,1
1244175,1465114,1
1244175,1067883,1
1244175,1303415,1
1244175,676682,1
5090,200504,1
5090,171555,1
5090,38697,1
5090,1406623,1
5090,1119025,1
5090,1248899,1
5090,1502235,1
162353,399298,1
162353,794595,1
563685,1393614,1
563685,423746,1
563685,1441410,1
1058144,148634,1
1058144,42102,1
1058144,1284061,1
1058144,1262219,1
1058144,1452727,1
1087389,444962,1
1087389,244973,1
1087389,407949,1
1087389,1316120,1
1087389,1159065,1
1087389,756569,1
1087389,1110454,1
1087389,506085,1
1087389,1267173,1
1087389,257547,1
1087389,172194,1
1087389,414721,1
1087389,1135279,1
1087389,1534016,1
1087389,986668,1
1087389,627441,1
1087389,1239676,1
1087389,27172,1
5129,1065888,1
5129,202346,1
1227391,1309644,1
1227391,623317,1
1227391,1547708,1
1227391,1279510,1
1227391,1009553,1
5241,247999,1
5241,1098477,1
5241,477665,1
5241,57460,1
5241,922729,1
5241,471404,1
100492,1077760,1
100492,198356,1
100492,382724,1
100492,929939,1
100492,684006,1
100492,1237685,1
297078,1333513,1
297078,719200,1
297078,954741,1
297078,929472,1
297078,1152294,1
1154208,656621,1
1154208,1219728,1
1154208,500779,1
1154208,641956,1
1154208,1080671,1
1154208,992595,1
1154208,772622,1
1154208,1129698,1
1154208,715923,1
5285,171221,1
1053558,1481728,1
1053558,472855,1
1053558,1495132,1
1053558,553279,1
1053558,1144884,1
1053558,49161,1
1053558,441906,1
1053558,1346380,1
1053558,391598,1
1053558,867832,1
1053558,138753,1
1053558,44246,1
1053558,646566,1
1053558,1482999,1
1053558,495154,1
1053558,443766,1
1053558,1129303,1
1053558,1037273,1
1053558,1326747,1
1053558,1006779,1
1053558,1081276,1
5488,9218,1
957023,1147610,1
957023,1209267,1
957023,1156818,1
957023,661039,1
5614,619315,1
5614,912241,1
5614,695928,1
5614,588630,1
5614,1354518,1
5614,882422,1
228754,388398,1
228754,253048,1
228754,482982,1
228754,837108,1
228754,917010,1
228754,158016,1
867304,641438,1
867304,274546,1
867304,1087745,1
867304,996248,1
867304,1581139,1
867304,105830,1
867304,415713,1
867304,625788,1
867304,589433,1
867304,828352,1
867304,480800,1
867304,318045,1
867304,78306,1
867304,878612,1
867304,793413,1
867304,793598,1
867304,1182763,1
867304,982802,1
867304,281065,1
867304,1053914,1
867304,919699,1
867304,1164755,1
867304,447276,1
867304,1275759,1
867304,1129761,1
867304,774135,1
968047,140481,1
968047,457274,1
968047,1115295,1
968047,899200,1
968047,254385,1
968047,1112294,1
968047,467507,1
968047,775974,1
968047,899103,1
968047,247711,1
968047,616562,1
968047,822288,1
968047,156612,1
968047,234696,1
968047,434004,1
968047,1516360,1
968047,434287,1
1129833,160639,1
1129833,1119946,1
1129833,1176581,1
1129833,1067247,1
1129833,1570798,1
1129833,806184,1
1556398,1446753,1
1556398,375612,1
1556398,831377,1
1556398,930135,1
1556398,1256783,1
1556398,1133386,1
1556398,1085933,1
1556398,990351,1
1556398,851564,1
1556398,107202,1
1556398,264120,1
1556398,838396,1
1556398,1337123,1
1556398,430697,1
1556398,1064347,1
1556398,840101,1
1556398,1170456,1
1556398,799546,1
1556398,1001001,1
1556398,495451,1
5691,1432031,1
686288,281044,1
686288,1418814,1
686288,709027,1
686288,43316,1
686288,223596,1
686288,892441,1
686288,1240990,1
686288,322669,1
686288,1483339,1
686288,16598,1
686288,1287583,1
686288,100198,1
686288,1188491,1
686288,249031,1
5738,530386,1
5738,337896,1
5738,612565,1
5738,1336732,1
9218,327683,1
9218,330139,1
9218,81966,1
9218,1052784,1
9218,1340013,1
9218,1107094,1
9218,1113802,1
9218,496617,1
9218,847772,1
9218,606448,1
9218,67766,1
9218,52497,1
9218,922950,1
9218,999261,1
9218,1281378,1
9218,1411334,1
9218,1353465,1
9218,1472057,1
9218,360331,1
9218,521837,1
9218,1455591,1
9218,454835,1
9218,165365,1
9218,657077,1
9218,1451350,1
9218,27872,1
9218,1022481,1
9218,1218445,1
9218,327715,1
9218,178155,1
9218,645422,1
9218,1368163,1
9218,486545,1
9218,383448,1
9218,1242515,1
9218,532585,1
9218,492627,1
9218,832236,1
9218,114626,1
9218,860304,1
9218,1017745,1
9218,1569621,1
9218,1008776,1
9218,941248,1
9218,1150421,1
9218,13681,1
9218,99098,1
9218,496042,1
9218,982208,1
9218,1227533,1
9218,306684,1
9218,1268229,1
9218,133464,1
9218,1513940,1
9218,396040,1
9218,737228,1
9218,1255515,1
9218,1328173,1
9218,1019221,1
9218,1299239,1
9218,86292,1
9218,1003944,1
9218,766883,1
9218,500162,1
