node1,node2,network
1422026,167183,1
1422026,1534549,1
2848,657307,1
2848,1508359,1
2848,1236276,1
2848,754447,1
319468,891601,1
319468,1295679,1
319468,202346,1
319468,330752,1
319468,407340,1
319468,736671,1
319468,416771,1
319468,1486568,1
319468,393508,1
319468,1095393,1
319468,1145325,1
319468,30338,1
319468,562725,1
319468,1072189,1
319468,1282055,1
319468,617591,1
319468,1345798,1
319468,9218,1
319468,378685,1
319468,1127550,1
319468,772390,1
319468,1338486,1
467895,1411981,1
467895,609152,1
467895,479047,1
467895,519179,1
467895,1205191,1
467895,949308,1
467895,1075137,1
467895,1026684,1
467895,1223460,1
467895,1342039,1
467895,1061591,1
467895,917166,1
467895,567301,1
467895,261506,1
1406780,1161457,1
1406780,419924,1
1406780,1119643,1
1406780,1007646,1
1406780,17677,1
3223,1194679,1
3223,1548606,1
1031707,1461900,1
1031707,771131,1
1031707,1245632,1
1031707,904471,1
1031707,1071495,1
1031707,148152,1
1031707,1572866,1
1031707,1182355,1
1031707,719428,1
1031707,1544766,1
1108453,1560646,1
1108453,1044260,1
1108453,598407,1
1108453,886616,1
3539,398302,1
3539,1524655,1
1346486,1410152,1
1346486,373335,1
1346486,453531,1
1346486,1219508,1
1346486,688751,1
1346486,942639,1
1346486,1349636,1
3896,1237345,1
988613,976348,1
988613,252190,1
4112,1574200,1
4112,232516,1
4112,567896,1
655586,320891,1
1031219,873242,1
1031219,1468010,1
1031219,1247964,1
1031219,483997,1
1031219,551517,1
1031219,1533665,1
1031219,1011604,1
1031219,345174,1
4776,981910,1
4776,779758,1
680467,1529758,1
680467,974118,1
680467,242972,1
680467,94455,1
680467,673976,1
680467,471404,1
680467,1420317,1
680467,1425976,1
680467,828097,1
1244175,874530,1
1244175,1016432,1
1244175,801601,1
1244175,1396038,1
1244175,1147418,1
1244175,1097199,1
1244175,1002393,1
1244175,1406623,1
5090,133361,1
5090,946018,1
5090,848651,1
5090,205443,1
5090,1441094,1
5090,1055302,1
5090,122482,1
162353,1230679,1
162353,918261,1
563685,169148,1
563685,1103734,1
563685,918461,1
1058144,231811,1
1058144,632391,1
1058144,1009212,1
1058144,408749,1
1058144,854349,1
1087389,954363,1
1087389,1345798,1
1087389,54987,1
1087389,1029510,1
1087389,420505,1
1087389,586057,1
1087389,373655,1
1087389,820526,1
1087389,568641,1
1087389,269280,1
1087389,221277,1
1087389,423189,1
1087389,1164742,1
1087389,1102087,1
1087389,421193,1
1087389,167183,1
1087389,1523589,1
1087389,1235071,1
5129,1338285,1
5129,32587,1
1227391,1109864,1
1227391,1582848,1
1227391,483822,1
1227391,796273,1
1227391,895097,1
5241,1021749,1
5241,502691,1
5241,219352,1
5241,300307,1
5241,1525716,1
5241,439035,1
5241,208218,1
100492,762871,1
100492,307172,1
100492,1499330,1
100492,427265,1
100492,922912,1
100492,1059994,1
297078,1208715,1
297078,1124000,1
297078,188938,1
297078,202215,1
297078,373530,1
1154208,183368,1
1154208,835152,1
1154208,44933,1
1154208,1121925,1
1154208,1394242,1
1154208,116122,1
1154208,1216546,1
1154208,1537237,1
1154208,516706,1
5285,1373335,1
1053558,1062145,1
1053558,393508,1
1053558,136543,1
1053558,891601,1
1053558,726305,1
1053558,862934,1
1053558,1457353,1
1053558,1282055,1
1053558,100567,1
1053558,726480,1
1053558,1095393,1
1053558,1338486,1
1053558,612183,1
1053558,435691,1
1053558,863086,1
1053558,1280763,1
1053558,1483628,1
1053558,1244245,1
1053558,8692,1
1053558,72552,1
1053558,770864,1
5488,1447455,1
957023,1530426,1
957023,433468,1
957023,1274394,1
957023,1306416,1
5614,389078,1
5614,1223081,1
5614,835465,1
5614,1001149,1
5614,641775,1
5614,1137240,1
228754,181418,1
228754,618303,1
228754,539980,1
228754,959604,1
228754,101817,1
228754,501905,1
228754,883112,1
867304,310874,1
867304,403669,1
867304,9218,1
867304,6288,1
867304,8718,1
867304,1536310,1
867304,1376363,1
867304,1065888,1
867304,451032,1
867304,1305752,1
867304,1097960,1
867304,997648,1
867304,1389747,1
867304,562725,1
867304,1189880,1
867304,1410249,1
867304,1067123,1
867304,290580,1
867304,1507757,1
867304,1077378,1
867304,200366,1
867304,448169,1
