node1,node2,network
592095,576934,0
761339,612386,0
761339,554949,0
761339,390983,0
761339,1455914,0
761339,1346236,0
761339,585183,0
761339,257551,0
761339,1209831,0
761339,545075,0
761339,54647,0
761339,1359217,0
761339,1191201,0
761339,199766,0
761339,579622,0
761339,1007004,0
761339,396554,0
761339,1345936,0
761339,571176,0
761339,184305,0
761339,1420987,0
761339,1366,0
761339,1135279,0
761339,448071,0
798202,667166,0
798202,744364,0
798202,499454,0
798202,474656,0
798202,277913,0
798202,1339474,0
798202,1156662,0
798202,1560103,0
798202,248505,0
798202,242972,0
798202,503051,0
798202,1558275,0
798202,1482802,0
798202,996197,0
798202,75936,0
798202,945424,0
798202,781666,0
798202,235454,0
798202,290801,0
798202,625243,0
798202,410266,0
798202,567054,0
798202,1356292,0
798202,240621,0
798202,580906,0
798202,1551084,0
798202,1379246,0
798202,815213,0
798202,736671,0
798202,1262219,0
798202,479047,0
798202,1234378,0
798202,1396273,0
996197,269784,0
996197,1496225,0
996197,815213,0
996197,290801,0
996197,1413579,0
996197,1560103,0
996197,820906,0
996197,1046888,0
996197,1110503,0
996197,235454,0
996197,588861,0
996197,675035,0
996197,474656,0
996197,337431,0
996197,256671,0
996197,98626,0
996197,248505,0
996197,11854,0
996197,485354,0
996197,499454,0
996197,1464746,0
996197,625243,0
996197,580906,0
996197,1262219,0
996197,226854,0
996197,18384,0
996197,75936,0
996197,1234378,0
996197,667166,0
996197,612565,0
996197,1156662,0
1058999,1439847,0
1058999,1008718,0
1058999,781666,0
1058999,1156662,0
1058999,1046888,0
1058999,1301553,0
1058999,18384,0
1058999,1436707,0
1058999,1580675,0
1058999,1093800,0
1058999,985552,0
1058999,1017907,0
1058999,1356292,0
1058999,1265600,0
1058999,1077760,0
1058999,248616,0
1058999,1464746,0
1058999,1168858,0
1058999,1551084,0
1058999,588861,0
1058999,811964,0
1058999,774135,0
1058999,466123,0
1058999,499454,0
1058999,33375,0
1058999,1041716,0
1058999,242972,0
1058999,812127,0
1058999,1420488,0
1058999,175513,0
1058999,1234378,0
1114229,933901,0
1114229,1368815,0
1114229,1069393,0
1114229,779194,0
1114229,288204,0
1114229,1351840,0
1114229,246654,0
1114229,1177720,0
1114229,518400,0
1114229,124719,0
1114229,1075137,0
1114229,863929,0
1127027,1420398,0
1127027,923066,0
1127027,1328752,0
1127027,1176898,0
1127027,749341,0
1127027,995680,0
1127027,1235926,0
1127027,1058639,0
1127027,1328043,0
1127027,1336679,0
1127027,460372,0
1127027,1469991,0
1127027,981920,0
1127027,1482118,0
1131934,1364337,0
1131934,114437,0
1131934,823144,0
1131934,1542031,0
1131934,357866,0
1131934,874903,0
1131934,1133462,0
1131934,726480,0
1131934,774135,0
1131934,445704,0
1131934,320116,0
1131934,1041796,0
1131934,29239,0
1131934,1439677,0
1131934,1087507,0
1131934,728954,0
1131934,906660,0
1131934,985552,0
1131934,710986,0
1131934,181697,0
1131934,1462731,0
1131934,826959,0
1131934,237043,0
1131934,457527,0
1131934,71442,0
1131934,1550569,0
1131934,1077760,0
1131934,231190,0
1219478,257250,0
1219478,1546330,0
1219478,1339675,0
1219478,649512,0
1219478,942836,0
1219478,1141127,0
1219478,45245,0
1219478,133979,0
1219478,1464968,0
1219478,325827,0
1219478,1258429,0
1219478,802680,0
1219478,354107,0
1219478,229637,0
1219478,573034,0
1219478,303837,0
1219478,1067683,0
1219478,457693,0
1219478,84136,0
1344119,1028204,0
1344119,1464968,0
1344119,870678,0
1344119,165380,0
1344119,572334,0
1344119,1459583,0
1344119,616428,0
1344119,869232,0
1344119,468232,0
1344119,1127959,0
1344119,1201999,0
1344119,324877,0
1344119,228277,0
1344119,854884,0
1344119,1564334,0
1344119,900866,0
1344119,1381777,0
1344119,1476233,0
1346236,1529281,0
1346236,863340,0
1346236,1487754,0
1346236,934838,0
1346236,329307,0
1346236,267955,0
1346236,579622,0
1346236,1128462,0
1346236,1007050,0
1346236,1537917,0
1346236,1146144,0
1346236,715607,0
1346236,880423,0
1346236,516803,0
1346236,199766,0
1346236,390983,0
1346236,1135279,0
1346236,52286,0
1346236,288611,0
1346236,122853,0
1346236,93173,0
1451863,614891,0
1451863,671840,0
1451863,1178617,0
1451863,465256,0
1451863,584505,0
1451863,77686,0
1451863,124719,0
1451863,762491,0
1451863,1458385,0
1451863,135017,0
1451863,1167765,0
1451863,853209,0
1538091,733142,0
1538091,594918,0
1538091,929014,0
1538091,200352,0
1538091,636984,0
1538091,77185,0
1538091,1207294,0
1538091,749341,0
1538091,421806,0
1538091,311851,0
1538091,1421191,0
1538091,682442,0
1538091,437666,0
1538091,389079,0
1539280,700530,0
1539280,802680,0
1539280,1263341,0
1539280,223982,0
1539280,267767,0
1539280,379762,0
1539280,257250,0
1539280,223282,0
1539280,1206395,0
1539280,1531685,0
1539280,1026441,0
1539280,1353435,0
1539280,585183,0
1539280,951149,0
1539280,406295,0
1539280,802661,0
1539280,1264013,0
1539280,382836,0
1539280,608389,0
1539280,531033,0
1539280,964323,0
1543604,963305,0
1543604,709215,0
1543604,1325737,0
1543604,1256241,0
1543604,921663,0
1543604,1585613,0
1543604,1475868,0
1366,863340,0
1366,1306188,0
1366,288611,0
1366,284379,0
1366,1182355,0
1366,768325,0
1366,554949,0
1366,1135279,0
1366,1531296,0
1366,379342,0
1366,264593,0
1366,84136,0
1366,1264013,0
1366,1257035,0
1366,545075,0
1366,1360494,0
1366,944246,0
1366,794291,0
1366,135239,0
1366,1510740,0
1366,585183,0
77919,93486,0
77919,333528,0
98626,1388111,0
98626,1551084,0
98626,612565,0
98626,474656,0
98626,1560103,0
98626,820906,0
98626,248505,0
98626,459610,0
98626,567054,0
98626,277913,0
98626,395566,0
98626,1262219,0
98626,804991,0
98626,1234378,0
98626,1558275,0
98626,1110503,0
98626,337431,0
98626,781666,0
98626,175513,0
98626,235454,0
98626,416771,0
98626,1339474,0
98626,535428,0
98626,623579,0
98626,247934,0
98626,801705,0
98626,580906,0
98626,588861,0
98626,503051,0
98626,1486568,0
98626,290801,0
98626,675035,0
98626,485354,0
98626,226854,0
107872,1512960,0
107872,113909,0
107872,217969,0
107872,1462987,0
107872,1168258,0
107872,992400,0
107872,1094461,0
108110,140424,0
108110,351932,0
108110,904284,0
108110,991229,0
108110,736047,0
108110,483084,0
108110,8055,0
108110,82530,0
108110,1111208,0
108110,109085,0
108110,414417,0
108110,1288149,0
108110,1438224,0
108110,137540,0
108110,216405,0
108110,598113,0
108110,410619,0
175513,1464746,0
175513,156665,0
175513,1093800,0
175513,815213,0
175513,248616,0
175513,1077760,0
175513,744364,0
175513,1496225,0
175513,33375,0
175513,1025998,0
175513,1234378,0
175513,59297,0
175513,945424,0
175513,410266,0
175513,499454,0
175513,746130,0
175513,1420488,0
175513,1550569,0
175513,1580675,0
175513,1560103,0
175513,479047,0
175513,1110503,0
175513,1041716,0
175513,485354,0
175513,18384,0
175513,242972,0
175513,588861,0
231190,1261231,0
231190,844241,0
231190,457527,0
231190,823144,0
231190,101817,0
231190,357866,0
231190,1193048,0
231190,1462731,0
231190,710986,0
231190,985552,0
231190,71442,0
231190,152709,0
231190,1123862,0
231190,29239,0
231190,181697,0
231190,906660,0
231190,169171,0
231190,726480,0
231190,11577,0
231190,1107024,0
231190,54647,0
231190,644322,0
231190,320116,0
231190,802252,0
269784,1341525,0
269784,623579,0
269784,535428,0
269784,256671,0
269784,277913,0
269784,1338486,0
269784,976963,0
269784,265970,0
269784,693740,0
269784,592526,0
269784,235454,0
269784,266195,0
269784,820906,0
269784,736671,0
269784,247934,0
269784,485354,0
269784,1451178,0
269784,1388111,0
269784,1234820,0
269784,1482802,0
269784,804991,0
269784,395566,0
269784,290801,0
269784,733816,0
269784,1203522,0
269784,1396273,0
269784,1551084,0
269784,1129772,0
269784,962111,0
269784,1413579,0
269784,240621,0
269784,536119,0
269784,503051,0
269784,459610,0
269784,368163,0
269784,1053503,0
269784,1560103,0
269784,11854,0
269784,248505,0
269784,416771,0
269784,1486568,0
269784,1499403,0
269784,801705,0
269784,1236499,0
269784,1292886,0
269784,732094,0
269784,1339474,0
269784,675035,0
269784,226854,0
269784,1558275,0
269784,1422026,0
269784,1262219,0
269784,667166,0
274798,998190,0
274798,761246,0
274798,494068,0
274798,368184,0
274798,351154,0
274798,974314,0
274798,406832,0
274798,880423,0
274798,256596,0
274798,77968,0
274798,1128462,0
274798,1394242,0
274798,500779,0
274798,396554,0
274798,1154230,0
274798,974037,0
274798,337779,0
